lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio	lower_odds	upper_odds	z_value	p_value
interaction	192	296	141685	185461	3.146499856375158	0.8490597242264674	0.7079514147311886	1.0182936290582225	-1.7645078362897828	0.03882325859569144
control	112	263	141685	185461	28.65148592274636	0.5574308455631306	0.4467867564155053	0.6954752868642622	-5.177042292712861	1.1271556397252555e-07
gene	465	664	141685	185461	2.0731414407491684	0.9166712195856156	0.8140542663257176	1.0322237221472486	-1.4364043357009317	0.07544366007005511
method	169	240	141685	185461	0.6608495442196727	0.9217309818729341	0.7569613206135964	1.1223664668305153	-0.8111235012946897	0.20864737547391088
ace2	338	262	141685	185461	40.879515485838056	1.6886674477061387	1.4368579586092969	1.9846065728740256	6.359398684504184	1.0127253645538021e-10
cov-2	770	599	141685	185461	91.80112303514034	1.6826454885372881	1.5118911698125514	1.8726849502308562	9.531430571121282	7.756526254708546e-22
perform	228	274	141685	185461	0.9047607006505132	1.0892134783416179	0.9135861918946191	1.2986032537780454	0.9525691272082715	0.17040421286826468
actin	154	156	141685	185461	5.07061206176877	1.2921854456844046	1.03415211142162	1.614601186418557	2.2554862964295648	0.012051410737529106
filament	165	141	141685	185461	13.861652685329318	1.5317699812064371	1.223277373885385	1.9180598982819141	3.7164382868814876	0.00010102548202046601
function	156	186	141685	185461	0.7362451963126659	1.0978433530992764	0.8873158580477801	1.3583212978927304	0.8593695113312873	0.1950683425424682
provide	167	202	141685	185461	0.5678302431479096	1.08216584900894	0.8814884055358507	1.3285290168386807	0.7545800785711803	0.22525049024991922
factor	126	221	141685	185461	7.028267806395888	0.746288920502223	0.5995668859190091	0.9289157989615975	-2.620216480409782	0.004393698246718112
rdna	229	219	141685	185461	10.994804305955768	1.368737260915308	1.1371337196709517	1.6475122116333432	3.318745268698211	0.0004521143716219376
tf	196	245	141685	185461	0.23063324578106403	1.0471736598793098	0.8677408224112471	1.2637099069488416	0.480672609508119	0.31537460057357913
bind	397	618	141685	185461	7.321495667099953	0.8408736710600444	0.7411369413087114	0.9540322324689995	-2.6905261868895103	0.003566971792369608
target	192	341	141685	185461	11.708029029890895	0.7370137195631505	0.6174676673089456	0.879704722340594	-3.3794342013615934	0.00036317595940257326
use	1016	1310	141685	185461	0.12919949274510145	1.0151988916387202	0.9350610251736426	1.1022048420776562	0.3595575560881418	0.3595890144234221
low	198	257	141685	185461	0.007932398468255997	1.0084649059148993	0.8377488623472126	1.2139693793346404	0.08908032157504306	0.4645090381603457
epitope	161	164	141685	185461	5.086930595338345	1.2850225551872627	1.0337723472249327	1.5973371427207543	2.259228174207387	0.011934597563389136
collagen	2	271	141685	185461	287.14708571508527	0.009660273615122783	0.002403607564914076	0.038825342240247696	-6.537413723747504	3.129586466313716e-11
treat	39	212	141685	185461	89.0292457761243	0.24080054678828466	0.1711255334989653	0.3388442516317267	-8.169945268306847	1.5426469725322228e-16
data	157	105	141685	185461	29.10005761962384	1.957217435726805	1.5285705297800576	2.5060669534589293	5.32457805418211	5.059382275056084e-08
stage	115	385	141685	185461	90.08222032338381	0.39099016521467733	0.3174374551535343	0.4815856062752922	-8.831903565679914	5.14545759105499e-19
coronavirus	361	335	141685	185461	20.502829357981682	1.4105585493150403	1.2154738700169847	1.6369544999087047	4.529420190203325	2.9572885059823106e-06
invasion	48	259	141685	185461	108.02783990837634	0.24258849263613352	0.1782676484516811	0.330116974507701	-9.011027649855619	1.0206727259442246e-19
activity	137	269	141685	185461	15.483571981079876	0.6666486589380364	0.54262801864003	0.8190149037598871	-3.861095726238682	5.643983213763755e-05
mers	126	275	141685	185461	23.814554755575955	0.5997449142945137	0.4856749461122374	0.7406063769635131	-4.749851202532869	1.017831885045981e-06
site	267	433	141685	185461	7.680919460952282	0.807145979179491	0.692865086413861	0.9402763171075351	-2.750596211383055	0.002974345992118342
follow	199	232	141685	185461	1.4296413846313953	1.1227777926507685	0.9289539461564259	1.3570424851367773	1.1977681489699257	0.11550364508945665
study	453	509	141685	185461	5.549226820468903	1.1649549801702537	1.026231274949852	1.3224310532631094	2.3602746508375962	0.009130704723892831
membrane	236	291	141685	185461	0.46340211387723684	1.0615677995340083	0.8939657280209278	1.260592165543392	0.6814913420881287	0.2477803216252641
information	153	103	141685	185461	27.89388807862997	1.9443879849700776	1.5144320150475195	2.496410930653345	5.215130652731537	9.184385929585164e-08
identify	198	307	141685	185461	3.4848512709140778	0.8442198072316911	0.7060106615617517	1.0094848728569465	-1.8565070133703756	0.031690662148883254
express	165	226	141685	185461	0.19636487029492855	0.9556618024341046	0.7817887488418385	1.1682049428116887	-0.44262795402041033	0.3290174309329751
fusion	126	209	141685	185461	4.4813286466524005	0.7891380451243603	0.6325555754520864	0.9844808558008938	-2.098606406479733	0.01792580557655149
similar	183	232	141685	185461	0.10440588556230068	1.0325042012818626	0.8505118114055891	1.2534392954553757	0.3233286296741686	0.37322318704104607
treatment	100	257	141685	185461	35.605590891093016	0.5093257100580301	0.40422757623825817	0.6417490893130323	-5.721735187875265	5.272078321013494e-09
report	252	255	141685	185461	8.357368795201182	1.293567462203853	1.0867267659693114	1.5397769077492018	2.895603428515386	0.0018921515000759153
figure	443	856	141685	185461	45.71207256615162	0.6774210445772988	0.6038762467525676	0.7599227061902109	-6.642197621483886	1.5452010768179515e-11
datum	365	409	141685	185461	4.629648904316127	1.1681491010267362	1.0142216515059566	1.3454379722651362	2.155883018381442	0.01554640039937442
test	253	331	141685	185461	3.714952617883682e-05	1.0005095768484342	0.849324620232107	1.178606376784262	0.006095082307127881	0.4975684290206578
supplementary	189	161	141685	185461	16.087403872981668	1.5366135226489872	1.2451558430227514	1.896293649681397	4.003316759883094	3.123029144123006e-05
bead	191	164	141685	185461	15.721768730320036	1.5244677518060072	1.2372292340784048	1.8783923482276745	3.958524313851524	3.770713253462492e-05
end	181	205	141685	185461	2.003282799385488	1.1557221490131406	0.9461977112684627	1.4116433276180038	1.4181023020170527	0.07808044964281037
expression	435	481	141685	185461	6.458002123981714	1.1837851924311324	1.0396132332256691	1.3479506965019774	2.5463134503811737	0.005443369157255377
mm	154	334	141685	185461	28.30071798246354	0.6035357171460094	0.498582150498384	0.7305824356263803	-5.1806869024154905	1.1053514654746291e-07
viral	181	263	141685	185461	1.1744258990511298	0.9008480629189879	0.7453986186086404	1.0887157719445308	-1.0804736180024512	0.1399656643527163
form	166	237	141685	185461	0.738725557923317	0.9168292591770328	0.7517687355236669	1.1181309500688117	-0.8574362448189723	0.1956019177441679
rbd	316	329	141685	185461	8.399002418853343	1.257244971587621	1.0772233565817741	1.4673511383916662	2.9034567214697424	0.0018453398838947227
different	214	245	141685	185461	2.0391537500545382	1.1433426694600626	0.9516453186380754	1.3736551152049763	1.4306638963426033	0.0762632826075172
rna	186	224	141685	185461	0.702887506224215	1.0869101603658013	0.8947455546408188	1.320345980573947	0.8395799448647261	0.20057197389238068
result	380	483	141685	185461	0.1830362407490611	1.0298291686183687	0.9001589667611677	1.1781786947622415	0.4280836931676804	0.3342950942676519
module	232	234	141685	185461	7.878401583060622	1.2977793220726488	1.0821294173487441	1.556404568434865	2.811315720486006	0.0024669672447716327
virus	380	518	141685	185461	0.36044543609023094	0.9602461166846952	0.8410276015299754	1.0963642607336868	-0.5997706722600173	0.2743295406521384
case	205	267	141685	185461	0.002893884666264057	1.0050121735733075	0.8376613517197076	1.205796909403694	0.053800742974398026	0.4785469587853431
obtain	154	203	141685	185461	0.004306003451347351	0.9930095050579661	0.8052682094641636	1.2245210546578138	-0.065609691364262	0.47384428657389793
group	174	236	141685	185461	0.12655533198267221	0.9650858941684316	0.7933367920073476	1.174016877203213	-0.3554374499659145	0.3611309485247839
pair	37	213	141685	185461	94.02933589089662	0.2273792571334182	0.16036660373594916	0.3223945969428503	-8.314389514892785	4.6112888116492175e-17
structure	266	366	141685	185461	0.3837844245135784	0.9513257975679521	0.8122325110626786	1.1142385472039562	-0.6187225158380807	0.2680495872320111
assay	168	246	141685	185461	1.2617624634876847	0.8939287340433132	0.734605436456206	1.087806517473166	-1.1196212378660437	0.1314376006854881
difference	203	231	141685	185461	2.1076676547527313	1.1503043991098478	0.9525058487188276	1.3891780427293383	1.4545470939147822	0.07289734340199487
host	172	305	141685	185461	10.3747552735731	0.7381715963083659	0.6122568761675838	0.8899815205134497	-3.1814822964445804	0.0007326173889839968
indicate	268	409	141685	185461	3.843832445330918	0.857709476918261	0.7351500136836551	1.000701262466362	-1.9510890130661849	0.025523228981511152
specific	199	227	141685	185461	1.9973175097256899	1.1475085810351466	0.9485045797336134	1.3882652458242333	1.4159403785222962	0.07839648071388663
high	398	535	141685	185461	0.1609403882175684	0.9737736369905731	0.8551298402540407	1.1088785017911995	-0.4009200499673036	0.3442394938468136
protein	1029	1289	141685	185461	1.0960534447804093	1.0449395810859288	0.9624540021061679	1.1344944545200086	1.0478145714578477	0.14736202382633018
human	451	457	141685	185461	14.788417018949986	1.2917815115031965	1.1339940766312115	1.4715239769318162	3.851841598146742	5.861642491190076e-05
sample	345	358	141685	185461	9.421598164364696	1.2614347509021016	1.087865203636106	1.462697423784605	3.0750644953916058	0.0010522851890512022
lipid	224	150	141685	185461	41.37194920796901	1.954724165108045	1.589384691542278	2.404041376508819	6.349321669467388	1.0813320142178061e-10
include	247	303	141685	185461	0.570717909373343	1.0670457672862603	0.9018825570469503	1.2624555831433508	0.7563529855649863	0.2247187939732611
type	215	210	141685	185461	9.071952861733735	1.3401329575836405	1.1079173892912462	1.6210200881049261	3.0155896100390147	0.0012824006973960076
contain	163	223	141685	185461	0.18402183707803488	0.9567786242170824	0.7817038398976308	1.1710641409649643	-0.42850478922950214	0.33414182374757034
tumor	160	187	141685	185461	1.1019233046099544	1.1199718287479248	0.9067520003444488	1.3833296168218925	1.0515417631800068	0.14650491942088573
dna	133	656	141685	185461	250.8956229845062	0.2653850929191086	0.22022861671909533	0.319800617162834	-13.940288296569234	1.8024057705579678e-44
sars	1452	1351	141685	185461	80.77800152543932	1.4068247170103236	1.3059407045836586	1.5155020265810182	8.990766247705462	1.227563560490994e-19
fig	648	730	141685	185461	7.669874705374241	1.1619324171263574	1.0450574041920135	1.2918782609965045	2.7748153583247506	0.0027616527975682535
specie	130	458	141685	185461	116.00190707948059	0.37154087277377257	0.30574699813321343	0.45149296962631735	-9.95679711751546	1.1776422166140251e-23
strain	189	164	141685	185461	14.864706574939191	1.508504738698091	1.223650813956316	1.859669867187972	3.850309886243066	5.898423516622406e-05
2019-ncov	233	444	141685	185461	22.248119368217885	0.6869129018915517	0.5861064223558939	0.8050574380134629	-4.637966243286552	1.7592711697954422e-06
analysis	480	573	141685	185461	2.20354497525841	1.0965169213395913	0.9710924577873602	1.238140971173451	1.4866917619535918	0.06854811973743671
mutation	317	281	141685	185461	22.623869729228318	1.4766639242960018	1.2573981304683968	1.7341654106841966	4.7528650185567445	1.0027712362721678e-06
al	818	1161	141685	185461	3.1385914999991655	0.9222524265517608	0.843095537802303	1.0088412287150021	-1.7677456473768143	0.038551717539330725
large	159	203	141685	185461	0.0553257130086422	1.025250073404004	0.8329778462206615	1.2619035641632923	0.23533573006757233	0.40697408257340323
-pron-	2818	3569	141685	185461	1.6776843331754208	1.0335301812622215	0.9832479264030229	1.086383817240905	1.2960867643895868	0.09747279719533625
change	212	250	141685	185461	1.2435997379943728	1.1100040794720683	0.9242599638616787	1.3330763038752875	1.1170084531029352	0.13199535545344693
non	158	222	141685	185461	0.4644838338717818	0.9316071974151516	0.7595970721823191	1.1425688724447864	-0.6802475707675288	0.24817385790233604
region	240	345	141685	185461	1.2461180165410042	0.9105857911993998	0.7721628921325727	1.07382327172474	-1.1133770922156236	0.13277325461055373
value	210	254	141685	185461	0.7146668927744031	1.082216872906767	0.9012934545745052	1.2994584106427514	0.8465406137920388	0.19862561353419406
domain	256	276	141685	185461	4.971242762170732	1.2141143882658663	1.0240860771151	1.4394041484742532	2.2340611927629084	0.012739523494454643
genome	204	296	141685	185461	1.2868762714788318	0.9021259569906216	0.7546599409519344	1.0784079001857063	-1.1310756862745242	0.12901161840986652
surface	90	261	141685	185461	47.21701189503074	0.45136795684453007	0.3551688810885539	0.573622981387294	-6.50477410886975	3.8905106782002143e-11
observe	231	361	141685	185461	4.468443617224693	0.8375938900004174	0.7099870280785344	0.9881356937811948	-2.1015303985058216	0.017797216209261054
time	198	303	141685	185461	2.9474739022552967	0.8553646231687431	0.7150009580121376	1.0232834381128	-1.7083186099582228	0.04378862001844494
positive	152	187	141685	185461	0.3213411681354046	1.0639732373105286	0.8588590014973637	1.3180732200971421	0.5675179296287917	0.2851811743037196
