preprint_doi,document,category,version_count,published_doi,pmcid,pmcoa,journal,preprint_date,published_date,time_to_published,doc_distances
10.1101/000778,000778_v1.xml,systems biology,2,10.1371/journal.pcbi.1003871,PMC4207463,TRUE,PLoS_Comput_Biol,11/20/13,10/23/14,337 days,1.792153603
10.1101/000919,000919_v4.xml,bioinformatics,4,10.1371/journal.pone.0108358,PMC4191986,TRUE,PLoS_One,11/25/13,10/9/14,318 days,1.466334886
10.1101/000927,000927_v1.xml,systems biology,1,10.1371/journal.pone.0097272,PMC4037186,TRUE,PLoS_One,11/25/13,5/28/14,184 days,1.524485008
10.1101/000943,000943_v2.xml,neuroscience,2,10.3389/fncir.2014.00028,PMC3970007,TRUE,Front_Neural_Circuits,11/27/13,3/24/14,117 days,6.137570359
10.1101/000950,000950_v2.xml,plant biology,2,10.1093/mp/ssu003,PMC4064043,TRUE,Mol_Plant,11/26/13,1/30/14,65 days,1.330908086
10.1101/000968,000968_v1.xml,neuroscience,1,10.3389/fnhum.2013.00880,PMC3866385,TRUE,Front_Hum_Neurosci,11/26/13,12/18/13,22 days,0.872498531
10.1101/000984,000984_v1.xml,bioinformatics,1,10.1371/journal.pone.0098122,PMC4028284,TRUE,PLoS_One,12/4/13,5/20/14,167 days,0.618136454
10.1101/001008,001008_v1.xml,synthetic biology,2,10.15252/msb.20134955,PMC4265053,TRUE,Mol_Syst_Biol,12/2/13,6/25/14,205 days,1.28658731
10.1101/001024,001024_v1.xml,bioinformatics,1,10.1186/s12859-014-0449-0,PMC4384361,TRUE,BMC_Bioinformatics,12/2/13,1/28/15,422 days,1.135636276
10.1101/001032,001032_v1.xml,ecology,1,10.1371/journal.pone.0091768,PMC3961263,TRUE,PLoS_One,12/2/13,3/20/14,108 days,1.002662413
10.1101/001040,001040_v1.xml,microbiology,1,10.1371/journal.pone.0090714,PMC3961216,TRUE,PLoS_One,12/3/13,3/20/14,107 days,1.520716873
10.1101/001065,001065_v1.xml,bioinformatics,2,10.1371/journal.pone.0128115,PMC4452659,TRUE,PLoS_One,12/2/13,6/1/15,546 days,2.095238048
10.1101/001073,001073_v1.xml,genetics,1,10.1534/genetics.114.164350,PMC4063916,TRUE,Genetics,12/2/13,4/2/14,121 days,0.821389968
10.1101/001099,001099_v1.xml,genetics,1,10.1371/journal.pone.0096788,PMC4016008,TRUE,PLoS_One,12/3/13,5/9/14,157 days,1.034623739
10.1101/001289,001289_v1.xml,evolutionary biology,2,10.1371/journal.pbio.1002000,PMC4236020,TRUE,PLoS_Biol,12/13/13,11/18/14,340 days,1.78297232
10.1101/001297,001297_v1.xml,biophysics,2,10.1371/journal.pone.0085203,PMC3893193,TRUE,PLoS_One,12/10/13,1/15/14,36 days,1.365214553
10.1101/001305,001305_v2.xml,bioengineering,3,10.1371/journal.pone.0106541,PMC4156346,TRUE,PLoS_One,12/10/13,9/5/14,269 days,0.9378392
10.1101/001321,001321_v1.xml,cancer biology,2,10.1038/onc.2014.279,PMC4490903,TRUE,Oncogene,12/10/13,9/8/14,272 days,1.418967271
10.1101/001347,001347_v3.xml,evolutionary biology,3,10.1093/molbev/msu269,PMC4271521,TRUE,Mol_Biol_Evol,12/11/13,9/22/14,285 days,1.83621012
10.1101/001362,001362_v1.xml,microbiology,1,10.1371/journal.pone.0102170,PMC4105467,TRUE,PLoS_One,12/12/13,7/21/14,221 days,1.111326741
10.1101/001370,001370_v1.xml,bioinformatics,3,10.1038/nmeth.3069,PMC4180789,TRUE,Nat_Methods,12/13/13,8/17/14,247 days,3.386012099
10.1101/001388,001388_v1.xml,genomics,1,10.1093/molbev/msu121,PMC4069612,TRUE,Mol_Biol_Evol,12/16/13,4/8/14,113 days,2.118710239
10.1101/001404,001404_v1.xml,evolutionary biology,1,10.1371/journal.pone.0119789,PMC4382128,TRUE,PLoS_One,12/14/13,4/1/15,473 days,0.918242897
10.1101/001453,001453_v2.xml,genetics,2,10.1371/journal.pone.0103813,PMC4134316,TRUE,PLoS_One,12/17/13,8/15/14,241 days,1.032941323
10.1101/001479,001479_v1.xml,genomics,1,10.3389/fgene.2015.00352,PMC4686641,TRUE,Front_Genet,12/19/13,12/4/15,715 days,1.795977396
10.1101/001495,001495_v1.xml,bioinformatics,1,10.1371/journal.pcbi.1003569,PMC3998880,TRUE,PLoS_Comput_Biol,12/20/13,4/24/14,125 days,0.837148087
10.1101/001545,001545_v2.xml,bioinformatics,3,10.1186/1471-2105-15-220,PMC4094994,TRUE,BMC_Bioinformatics,12/22/13,6/25/14,185 days,1.710676948
10.1101/001552,001552_v3.xml,genetics,4,10.1038/nature13673,PMC4170574,TRUE,Nature,12/23/13,9/18/14,269 days,4.616393326
10.1101/001594,001594_v1.xml,zoology,1,10.1186/1756-0500-7-933,PMC4320573,TRUE,BMC_Res_Notes,12/24/13,12/19/14,360 days,1.153017014
10.1101/001685,001685_v1.xml,developmental biology,2,10.1186/s13227-015-0018-2,PMC4471933,TRUE,EvoDevo,1/6/14,5/27/15,506 days,1.68321725
10.1101/001701,001701_v1.xml,cell biology,1,10.7554/elife.00829,PMC3924242,TRUE,eLife,1/9/14,2/18/14,40 days,0.910998582
10.1101/001743,001743_v1.xml,cell biology,1,10.1242/bio.20147633,PMC4021352,TRUE,Biol_Open,1/10/14,3/28/14,77 days,1.025352422
10.1101/001750,001750_v6.xml,biophysics,6,10.7717/peerj.632,PMC4203027,TRUE,PeerJ,1/13/14,10/16/14,276 days,1.522993774
10.1101/001776,001776_v1.xml,genomics,2,10.1186/1471-2164-15-82,PMC3909908,TRUE,BMC_Genomics,1/13/14,1/29/14,16 days,0.86644666
10.1101/001792,001792_v1.xml,genetics,1,10.1186/2041-2223-5-13,PMC4174254,TRUE,Investig_Genet,1/13/14,9/24/14,254 days,3.375076583
10.1101/001800,001800_v1.xml,cell biology,2,10.1371/journal.pone.0091819,PMC3954763,TRUE,PLoS_One,1/15/14,3/14/14,58 days,0.954168142
10.1101/001826,001826_v2.xml,ecology,2,10.1371/journal.pone.0122267,PMC4398435,TRUE,PLoS_One,1/14/14,4/15/15,456 days,1.021637129
10.1101/001834,001834_v6.xml,genomics,6,10.1371/journal.pone.0106689,PMC4154752,TRUE,PLoS_One,1/21/14,9/4/14,226 days,1.019677363
10.1101/001883,001883_v1.xml,immunology,1,10.1093/bioinformatics/btu523,PMC4221123,TRUE,Bioinformatics,1/17/14,8/5/14,200 days,0.861752459
10.1101/001909,001909_v1.xml,genomics,1,10.1093/hmg/ddu309,PMC4204768,TRUE,Hum_Mol_Genet,1/17/14,6/16/14,150 days,1.083304305
10.1101/001982,001982_v1.xml,developmental biology,1,10.1038/srep20109,PMC4742857,TRUE,Sci_Rep,1/22/14,2/5/16,744 days,1.234041921
10.1101/002006,002006_v1.xml,genomics,1,10.1186/1471-2164-15-962,PMC4239369,TRUE,BMC_Genomics,1/23/14,11/7/14,288 days,1.653035085
10.1101/002014,002014_v1.xml,bioinformatics,1,10.1093/nar/gkv1198,PMC4797263,TRUE,Nucleic_Acids_Res,1/23/14,11/19/15,665 days,1.167676994
10.1101/002063,002063_v1.xml,evolutionary biology,1,10.1371/journal.pone.0086169,PMC3911898,TRUE,PLoS_One,1/24/14,2/3/14,10 days,1.668883634
10.1101/002121,002121_v2.xml,bioinformatics,3,10.1186/s13326-016-0067-z,PMC4907002,TRUE,J_Biomed_Semantics,1/31/14,6/13/16,864 days,0.781037193
10.1101/002188,002188_v4.xml,bioinformatics,4,10.1186/1471-2164-15-1000,PMC4253613,TRUE,BMC_Genomics,1/29/14,11/19/14,294 days,0.753251767
10.1101/002204,002204_v1.xml,bioinformatics,1,10.1038/srep08790,PMC4350105,TRUE,Sci_Rep,1/28/14,3/5/15,401 days,1.495455319
10.1101/002238,002238_v1.xml,genomics,2,10.1371/journal.pone.0093766,PMC3981753,TRUE,PLoS_One,1/30/14,4/9/14,69 days,1.787740078
10.1101/002279,002279_v2.xml,genomics,2,10.1371/journal.pone.0110808,PMC4213012,TRUE,PLoS_One,1/30/14,10/29/14,272 days,1.10691792
10.1101/002287,002287_v3.xml,systems biology,3,10.1371/journal.pone.0114608,PMC4264753,TRUE,PLoS_One,1/31/14,12/12/14,315 days,0.499043934
10.1101/002295,002295_v1.xml,bioinformatics,2,10.1371/journal.pcbi.1003696,PMC4102402,TRUE,PLoS_Comput_Biol,2/3/14,7/17/14,164 days,0.872133061
10.1101/002345,002345_v2.xml,genetics,2,10.1371/journal.pgen.1004697,PMC4222666,TRUE,PLoS_Genet,2/4/14,11/6/14,275 days,1.346125473
10.1101/002352,002352_v1.xml,bioinformatics,1,10.1093/nar/gku847,PMC4227762,TRUE,Nucleic_Acids_Res,2/4/14,9/18/14,226 days,1.085001981
10.1101/002386,002386_v1.xml,genetics,1,10.1093/hmg/ddv028,PMC4383869,TRUE,Hum_Mol_Genet,2/4/14,1/26/15,356 days,1.254429327
10.1101/002428,002428_v1.xml,evolutionary biology,2,10.1371/journal.pgen.1004622,PMC4178662,TRUE,PLoS_Genet,2/10/14,9/25/14,227 days,0.993741123
10.1101/002444,002444_v1.xml,cell biology,1,10.1371/journal.pone.0108188,PMC4171520,TRUE,PLoS_One,2/6/14,9/22/14,228 days,1.286996925
10.1101/002493,002493_v1.xml,evolutionary biology,1,10.1371/journal.pone.0100163,PMC4067307,TRUE,PLoS_One,2/7/14,6/23/14,136 days,0.888215243
10.1101/002600,002600_v1.xml,genetics,1,10.1371/journal.pgen.1005223,PMC4425538,TRUE,PLoS_Genet,2/12/14,5/8/15,450 days,3.257867086
10.1101/002642,002642_v3.xml,bioinformatics,3,10.1038/srep06207,PMC4145288,TRUE,Sci_Rep,2/14/14,8/27/14,194 days,0.789272519
10.1101/002659,002659_v1.xml,synthetic biology,1,10.1038/nmat3912,PMC4063449,TRUE,Nat_Mater,2/14/14,3/23/14,37 days,4.319997788
10.1101/002675,002675_v1.xml,cell biology,1,10.1242/bio.20147955,PMC4021354,TRUE,Biol_Open,2/13/14,4/4/14,50 days,1.367700248
10.1101/002709,002709_v3.xml,evolutionary biology,5,10.1186/1471-2164-15-1031,PMC4302123,TRUE,BMC_Genomics,2/14/14,11/27/14,286 days,1.777520109
10.1101/002766,002766_v1.xml,genomics,1,10.1186/1471-2164-15-966,PMC4289383,TRUE,BMC_Genomics,2/17/14,11/8/14,264 days,1.381595747
10.1101/002790,002790_v1.xml,developmental biology,1,10.1371/journal.pone.0093987,PMC3981749,TRUE,PLoS_One,2/18/14,4/9/14,50 days,0.827231208
10.1101/002808,002808_v1.xml,evolutionary biology,1,10.1371/journal.pone.0099117,PMC4047067,TRUE,PLoS_One,2/18/14,6/5/14,107 days,0.956002014
10.1101/002824,002824_v1.xml,bioinformatics,2,10.1093/bioinformatics/btu638,PMC4287950,TRUE,Bioinformatics,2/20/14,9/25/14,217 days,1.003514597
10.1101/002832,002832_v3.xml,bioinformatics,3,10.1186/s13059-014-0550-8,PMC4302049,TRUE,Genome_Biol,2/19/14,12/5/14,289 days,0.895961391
10.1101/002865,002865_v1.xml,evolutionary biology,1,10.1038/ng.3186,PMC4310772,TRUE,Nat_Genet,2/20/14,1/12/15,326 days,2.03361761
10.1101/002873,002873_v1.xml,evolutionary biology,1,10.1098/rsif.2014.0672,PMC4233753,TRUE,J_R_Soc_Interface,2/20/14,8/20/14,181 days,5.924418826
10.1101/002899,002899_v2.xml,evolutionary biology,4,10.1093/molbev/msu173,PMC4104320,TRUE,Mol_Biol_Evol,2/20/14,5/24/14,93 days,0.874349953
10.1101/002907,002907_v1.xml,systems biology,1,10.1371/journal.pbio.1002042,PMC4307983,TRUE,PLoS_Biol,2/21/14,1/27/15,340 days,1.577000614
10.1101/002923,002923_v1.xml,neuroscience,1,10.3389/fncom.2014.00172,PMC4301009,TRUE,Front_Comput_Neurosci,2/21/14,1/21/15,334 days,1.270299554
10.1101/002956,002956_v1.xml,bioinformatics,1,10.1186/s13059-014-0503-2,PMC4283580,TRUE,Genome_Biol,2/23/14,12/3/14,283 days,1.356476546
10.1101/002964,002964_v2.xml,bioinformatics,2,10.1093/nar/gku1250,PMC4344482,TRUE,Nucleic_Acids_Res,2/24/14,12/15/14,294 days,0.829885384
10.1101/003087,003087_v1.xml,biophysics,2,10.1371/journal.pcbi.1003867,PMC4207457,TRUE,PLoS_Comput_Biol,2/26/14,10/23/14,239 days,1.924525825
10.1101/003194,003194_v1.xml,evolutionary biology,2,10.1093/emph/eou018,PMC4097963,TRUE,Evol_Med_Public_Health,3/5/14,6/9/14,96 days,0.916432147
10.1101/003202,003202_v1.xml,cell biology,1,10.1093/hmg/ddu359,PMC4240194,TRUE,Hum_Mol_Genet,3/5/14,7/11/14,128 days,2.199299896
10.1101/003269,003269_v1.xml,ecology,2,10.1371/journal.pone.0101851,PMC4094384,TRUE,PLoS_One,3/12/14,7/11/14,121 days,2.547426458
10.1101/003277,003277_v2.xml,cell biology,2,10.7554/elife.02409,PMC4011332,TRUE,eLife,3/7/14,4/25/14,49 days,0.757379402
10.1101/003319,003319_v1.xml,genetics,3,10.1371/journal.pgen.1004692,PMC4207643,TRUE,PLoS_Genet,3/16/14,10/23/14,221 days,0.997482954
10.1101/003327,003327_v1.xml,systems biology,1,10.15252/msb.20145216,PMC4299491,TRUE,Mol_Syst_Biol,3/17/14,7/1/14,106 days,0.756978649
10.1101/003335,003335_v1.xml,synthetic biology,1,10.1021/sb400206c,PMC4487224,TRUE,ACS_Synth_Biol,3/17/14,3/28/14,11 days,1.082137786
10.1101/003350,003350_v1.xml,microbiology,1,10.1093/gbe/evu169,PMC4159011,TRUE,Genome_Biol_Evol,3/17/14,8/8/14,144 days,1.149891031
10.1101/003376,003376_v1.xml,bioinformatics,1,10.1371/journal.pcbi.1003757,PMC4110073,TRUE,PLoS_Comput_Biol,3/17/14,7/24/14,129 days,1.299275421
10.1101/003467,003467_v1.xml,genomics,1,10.1186/s13059-014-0547-3,PMC4290387,TRUE,Genome_Biol,3/19/14,12/3/14,259 days,1.953641359
10.1101/003574,003574_v1.xml,evolutionary biology,1,10.1371/journal.pone.0103516,PMC4136743,TRUE,PLoS_One,3/27/14,8/18/14,144 days,0.892355547
10.1101/003608,003608_v2.xml,bioinformatics,2,10.1371/journal.pone.0096303,PMC4014496,TRUE,PLoS_One,3/27/14,5/8/14,42 days,0.942631805
10.1101/003616,003616_v1.xml,cell biology,1,10.1371/journal.pone.0125906,PMC4401748,TRUE,PLoS_One,3/27/14,4/17/15,386 days,1.183426816
10.1101/003624,003624_v1.xml,ecology,1,10.1371/journal.pone.0117803,PMC4338309,TRUE,PLoS_One,3/30/14,2/23/15,330 days,0.63869858
10.1101/003640,003640_v1.xml,bioinformatics,1,10.1093/bioinformatics/btu390,PMC4173023,TRUE,Bioinformatics,3/28/14,6/14/14,78 days,1.236417748
10.1101/003673,003673_v1.xml,evolutionary biology,1,10.1371/journal.pcbi.1003803,PMC4168977,TRUE,PLoS_Comput_Biol,3/30/14,9/18/14,172 days,1.582688278
10.1101/003731,003731_v1.xml,bioinformatics,1,10.1186/1471-2164-15-717,PMC4155097,TRUE,BMC_Genomics,4/2/14,8/25/14,145 days,1.05001457
10.1101/003749,003749_v1.xml,evolutionary biology,1,10.1093/sysbio/syv007,PMC4395847,TRUE,Syst_Biol,4/2/14,1/28/15,301 days,1.302226636
10.1101/003764,003764_v1.xml,genomics,1,10.1186/s13059-014-0506-z,PMC4268812,TRUE,Genome_Biol,4/2/14,12/3/14,245 days,0.969833906
10.1101/003848,003848_v2.xml,evolutionary biology,2,10.1093/molbev/msu220,PMC4166927,TRUE,Mol_Biol_Evol,4/3/14,7/24/14,112 days,1.902418088
10.1101/003871,003871_v1.xml,developmental biology,1,10.1186/s12915-014-0063-7,PMC4171571,TRUE,BMC_Biol,4/7/14,8/14/14,129 days,1.339184793
10.1101/004010,004010_v3.xml,genomics,3,10.1093/nar/gku672,PMC4176157,TRUE,Nucleic_Acids_Res,4/9/14,7/31/14,113 days,0.546330951
10.1101/004036,004036_v1.xml,evolutionary biology,2,10.1111/bij.12701,PMC4949538,TRUE,Biol_J_Linn_Soc_Lond,4/9/14,12/1/15,601 days,1.637125396
10.1101/004101,004101_v1.xml,genomics,1,10.1186/s13059-015-0645-x,PMC4427941,TRUE,Genome_Biol,4/11/14,4/15/15,369 days,0.750995848
10.1101/004119,004119_v2.xml,genomics,2,10.1371/journal.pgen.1004842,PMC4263395,TRUE,PLoS_Genet,4/10/14,12/11/14,245 days,2.254407294
10.1101/004192,004192_v1.xml,systems biology,2,10.1186/s12918-015-0166-y,PMC4438470,TRUE,BMC_Syst_Biol,4/14/14,5/13/15,394 days,2.258397432
10.1101/004242,004242_v1.xml,systems biology,1,10.1186/s12859-014-0400-4,PMC4308013,TRUE,BMC_Bioinformatics,4/20/14,12/14/14,238 days,1.973172119
10.1101/004259,004259_v1.xml,systems biology,2,10.1371/journal.pone.0121607,PMC4406848,TRUE,PLoS_One,4/23/14,4/22/15,364 days,1.621712122
10.1101/004317,004317_v2.xml,molecular biology,2,10.1093/nar/gku511,PMC4132701,TRUE,Nucleic_Acids_Res,4/18/14,6/9/14,52 days,2.513952378
10.1101/004424,004424_v1.xml,evolutionary biology,1,10.1534/genetics.114.165571,PMC4266194,TRUE,Genetics,4/23/14,7/24/14,92 days,1.666875174
10.1101/004473,004473_v1.xml,neuroscience,2,10.1371/journal.pcbi.1004390,PMC4619805,TRUE,PLoS_Comput_Biol,4/24/14,10/23/15,547 days,1.190619663
10.1101/004499,004499_v1.xml,synthetic biology,1,10.1093/nar/gku604,PMC4176322,TRUE,Nucleic_Acids_Res,4/24/14,7/10/14,77 days,0.629352544
10.1101/004572,004572_v1.xml,evolutionary biology,2,10.1186/s12862-015-0432-z,PMC4530483,TRUE,BMC_Evol_Biol,4/25/14,8/11/15,473 days,1.208972684
10.1101/004614,004614_v1.xml,genomics,1,10.1186/1471-2164-15-494,PMC4124144,TRUE,BMC_Genomics,4/29/14,6/19/14,51 days,1.865414393
10.1101/004648,004648_v1.xml,immunology,1,10.3389/fimmu.2014.00326,PMC4112810,TRUE,Front_Immunol,4/30/14,7/28/14,89 days,1.771732096
10.1101/004713,004713_v1.xml,genetics,1,10.1534/g3.114.014274,PMC4267945,TRUE,G3_(Bethesda),5/4/14,11/3/14,183 days,0.967939325
10.1101/004762,004762_v3.xml,bioinformatics,3,10.7554/elife.03430,PMC4360534,TRUE,eLife,5/6/14,9/25/14,142 days,1.514819867
10.1101/004788,004788_v1.xml,systems biology,1,10.1242/dev.117796,PMC4302997,TRUE,Development,5/6/14,1/22/15,261 days,1.486848945
10.1101/004853,004853_v1.xml,genomics,1,10.1371/journal.pgen.1004402,PMC4038484,TRUE,PLoS_Genet,5/6/14,5/29/14,23 days,1.106926769
10.1101/004861,004861_v1.xml,neuroscience,1,10.1002/hbm.22653,PMC4312958,TRUE,Hum_Brain_Mapp,5/6/14,10/12/14,159 days,1.926222216
10.1101/004887,004887_v1.xml,ecology,2,10.1080/17513758.2014.962631,PMC4241649,TRUE,J_Biol_Dyn,5/7/14,10/2/14,148 days,5.493005975
10.1101/004895,004895_v1.xml,genetics,1,10.1371/journal.pgen.1004913,PMC4287466,TRUE,PLoS_Genet,5/7/14,1/8/15,246 days,1.791671856
10.1101/004994,004994_v2.xml,ecology,2,10.1371/journal.pone.0117138,PMC4319751,TRUE,PLoS_One,5/10/14,2/6/15,272 days,1.193962706
10.1101/005017,005017_v1.xml,evolutionary biology,1,10.1371/journal.pgen.1004434,PMC4072542,TRUE,PLoS_Genet,5/9/14,6/26/14,48 days,1.589053345
10.1101/005041,005041_v4.xml,microbiology,4,10.7554/elife.03300,PMC4109307,TRUE,eLife,5/12/14,7/8/14,57 days,0.741519667
10.1101/005066,005066_v1.xml,neuroscience,1,10.7554/elife.03542,PMC4383210,TRUE,eLife,5/12/14,2/2/15,266 days,1.097488001
10.1101/005140,005140_v2.xml,neuroscience,2,10.7554/elife.04811,PMC4270100,TRUE,eLife,5/14/14,12/2/14,202 days,1.195750367
10.1101/005207,005207_v2.xml,bioinformatics,3,10.1371/journal.pone.0107026,PMC4182317,TRUE,PLoS_One,5/14/14,9/30/14,139 days,0.785154661
10.1101/005215,005215_v2.xml,developmental biology,2,10.3791/53252,PMC4692741,TRUE,J_Vis_Exp,5/15/14,11/24/15,558 days,1.950785343
10.1101/005256,005256_v1.xml,microbiology,1,10.12688/f1000research.11111.2,PMC5461918,TRUE,F1000Res,5/16/14,5/3/17,1083 days,1.427291727
10.1101/005264,005264_v3.xml,bioinformatics,3,10.1093/sysbio/syv055,PMC4604836,TRUE,Syst_Biol,5/19/14,7/30/15,437 days,1.236364923
10.1101/005348,005348_v1.xml,genetics,2,10.1038/ng.3015,PMC4116295,TRUE,Nat_Genet,5/21/14,5/30/14,9 days,1.125059384
10.1101/005355,005355_v1.xml,bioinformatics,1,10.1186/s13068-014-0124-8,PMC4189754,TRUE,Biotechnol_Biofuels,5/21/14,9/8/14,110 days,0.907336413
10.1101/005371,005371_v1.xml,genomics,1,10.1186/gb-2014-15-6-r86,PMC4197826,TRUE,Genome_Biol,5/21/14,6/30/14,40 days,0.729882432
10.1101/005405,005405_v2.xml,bioinformatics,2,10.1371/journal.pone.0143489,PMC4664402,TRUE,PLoS_One,5/23/14,11/30/15,556 days,1.307308118
10.1101/005413,005413_v1.xml,molecular biology,1,10.1093/nar/gkv137,PMC4381059,TRUE,Nucleic_Acids_Res,5/22/14,2/25/15,279 days,1.33701449
10.1101/005462,005462_v1.xml,genomics,2,10.1186/gb-2014-15-6-r88,PMC4197830,TRUE,Genome_Biol,5/23/14,6/30/14,38 days,0.889308154
10.1101/005470,005470_v2.xml,biophysics,2,10.7717/peerj.588,PMC4179385,TRUE,PeerJ,5/24/14,9/23/14,122 days,1.643378399
10.1101/005504,005504_v1.xml,developmental biology,2,10.1038/nn.4181,PMC4783176,TRUE,Nat_Neurosci,5/26/14,1/19/16,603 days,1.788003703
10.1101/005512,005512_v1.xml,evolutionary biology,1,10.1186/1471-2148-14-98,PMC4068157,TRUE,BMC_Evol_Biol,5/27/14,5/7/14,-20 days,1.336642883
10.1101/005546,005546_v1.xml,genomics,1,10.1186/1471-2105-16-s9-s2,PMC4464605,TRUE,BMC_Bioinformatics,5/26/14,6/1/15,371 days,1.433826588
10.1101/005579,005579_v2.xml,bioinformatics,2,10.1186/s13059-014-0509-9,PMC4248469,TRUE,Genome_Biol,5/27/14,11/15/14,172 days,1.81952721
10.1101/005587,005587_v1.xml,bioinformatics,4,10.1186/s12859-015-0466-7,PMC4339747,TRUE,BMC_Bioinformatics,5/27/14,2/12/15,261 days,1.439483577
10.1101/005603,005603_v1.xml,genetics,1,10.1038/ncomms5689,PMC4143916,TRUE,Nat_Commun,5/27/14,8/19/14,84 days,1.311097453
10.1101/005611,005611_v1.xml,bioinformatics,1,10.1371/journal.pone.0103207,PMC4132098,TRUE,PLoS_One,5/28/14,8/13/14,77 days,0.803524167
10.1101/005637,005637_v3.xml,cancer biology,3,10.1186/s13073-014-0125-z,PMC4308895,TRUE,Genome_Med,5/29/14,1/28/15,244 days,1.209267643
10.1101/005694,005694_v1.xml,genetics,1,10.3389/fmicb.2014.00577,PMC4215793,TRUE,Front_Microbiol,5/31/14,10/31/14,153 days,1.071258989
10.1101/005777,005777_v1.xml,paleontology,1,10.1186/s12862-015-0400-7,PMC4487210,TRUE,BMC_Evol_Biol,6/4/14,6/30/15,391 days,1.859175734
10.1101/005819,005819_v2.xml,evolutionary biology,2,10.7717/peerj.900,PMC4406365,TRUE,PeerJ,6/3/14,4/16/15,317 days,1.137286696
10.1101/005835,005835_v1.xml,microbiology,1,10.1371/journal.ppat.1004325,PMC4154868,TRUE,PLoS_Pathog,6/3/14,9/4/14,93 days,1.01783526
10.1101/005850,005850_v2.xml,genetics,2,10.1371/journal.pgen.1005068,PMC4405460,TRUE,PLoS_Genet,7/30/14,4/21/15,265 days,0.96692846
10.1101/005892,005892_v1.xml,genomics,1,10.1534/genetics.115.175075,PMC4391575,TRUE,Genetics,6/4/14,2/10/15,251 days,0.737388905
10.1101/006023,006023_v1.xml,evolutionary biology,1,10.1093/gbe/evu166,PMC4231632,TRUE,Genome_Biol_Evol,6/6/14,7/30/14,54 days,1.287845532
10.1101/006056,006056_v1.xml,genetics,1,10.1186/1471-2164-15-1074,PMC4362833,TRUE,BMC_Genomics,6/6/14,12/6/14,183 days,1.42720127
10.1101/006080,006080_v1.xml,biochemistry,1,10.1186/s12867-014-0026-0,PMC4253623,TRUE,BMC_Mol_Biol,6/7/14,11/27/14,173 days,1.479437541
10.1101/006122,006122_v1.xml,genomics,2,10.1371/journal.pbio.1002112,PMC4393120,TRUE,PLoS_Biol,6/9/14,4/10/15,305 days,1.330015107
10.1101/006130,006130_v1.xml,genomics,1,10.7717/peerj.869,PMC4380159,TRUE,PeerJ,6/10/14,3/26/15,289 days,1.351963876
10.1101/006148,006148_v2.xml,bioinformatics,2,10.1186/s13073-014-0089-z,PMC4240813,TRUE,Genome_Med,6/10/14,10/28/14,140 days,0.82272912
10.1101/006155,006155_v1.xml,plant biology,3,10.1371/journal.ppat.1004809,PMC4379099,TRUE,PLoS_Pathog,6/11/14,3/30/15,292 days,1.050069585
