lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio	lower_odds	upper_odds	z_value	p_value
reported	184662	6918021	262494660	5365015381	80477.85162353517	0.5455645684739461	0.5430481305494825	0.5480926673534364	-256.88448869093384	0.0
c	707021	14198643	262494660	5365015381	206.5528259277344	1.0177379574328862	1.015306915048348	1.0201748206849748	14.409878879355071	2.242481138065326e-47
b	502209	7991953	262494660	5365015381	27470.489471435547	1.2843460923647452	1.2806857666495495	1.2880168796503668	171.85904601612825	0.0
significant	342755	8925738	262494660	5365015381	20864.99279785156	0.7848563252825953	0.7821815827693671	0.7875402143260789	-139.08977793029518	0.0
model	730123	8136668	262494660	5365015381	208450.00079345703	1.8340025376847875	1.8296103795390453	1.8384052396344963	495.779799788517	0.0
models	284777	3073732	262494660	5365015381	89282.96228027344	1.8936050827438011	1.8863452690301565	1.900892836673917	325.7880376761132	0.0
groups	173270	6334427	262494660	5365015381	68906.49111938478	0.5590704504996211	0.5564076972621514	0.5617459466499558	-238.72066571095007	0.0
human	294116	4946852	262494660	5365015381	9948.758239746094	1.2151789339547736	1.2106644194574503	1.2197102828785646	102.62893209783738	0.0
supplementary	240831	3453151	262494660	5365015381	25545.56622314453	1.425434670553022	1.4195559209573305	1.4313377655769555	168.1160377160249	0.0
5	455064	10018914	262494660	5365015381	2458.297668457031	0.9283298810219128	0.9255737519042249	0.931094217208673	-49.02303979004809	0.0
including	224296	4954169	262494660	5365015381	1321.7915649414062	0.9253397309482736	0.9214310619827151	0.9292649803111214	-35.92853705937693	5.4764117910573875e-283
high	440917	9086405	262494660	5365015381	28.673370361328125	0.9917797849972524	0.9887841413919414	0.9947845042746281	-5.348090939182777	4.444340194077496e-08
genome	310549	2157447	262494660	5365015381	242049.7575378418	2.941985297536509	2.9309330132414524	2.9530792589997525	561.9309851983547	0.0
n	285584	8911129	262494660	5365015381	56648.896881103516	0.6550155949788826	0.6525782251748917	0.6574620683222381	-222.44167967942008	0.0
study	443222	20300434	262494660	5365015381	369338.124420166	0.4462379326595661	0.4449107481410887	0.44756907621646513	-530.9650555265425	0.0
ml	169952	5753367	262494660	5365015381	49451.71322631836	0.6037466030894131	0.6008401395023094	0.6066671262075429	-204.94922227227238	0.0
number	544541	8721662	262494660	5365015381	28328.49041748047	1.276091544787854	1.2725991509724284	1.2795935227795325	174.36401426487967	0.0
h	166514	6052940	262494660	5365015381	64795.16693115234	0.5622570156408517	0.5595252594683239	0.5650021089981802	-231.71847413416643	0.0
1	944811	20800304	262494660	5365015381	5086.511962890625	0.9283799598797052	0.9264644264270462	0.9302994538388917	-70.5205046779962	0.0
g	231888	4731600	262494660	5365015381	0.608001708984375	1.001660966696495	0.9974921425988577	1.005847213582358	0.7799350395791018	0.21771455624868613
genetic	246116	2193087	262494660	5365015381	122719.77639770508	2.293688758562915	2.284147542065856	2.3032698301089884	390.3412569152673	0.0
age	154914	5830617	262494660	5365015381	68686.02624511719	0.5430335370617307	0.5402997361105032	0.545781170460286	-237.1187552416468	0.0
use	217420	6062617	262494660	5365015381	22319.546966552734	0.7329761726470759	0.72984576987422	0.7361200021217431	-142.2580825806192	0.0
6	236571	6024214	262494660	5365015381	11773.342834472656	0.8026230229388885	0.7993310488937598	0.8059285546872101	-104.85408815781874	0.0
cells	1281940	23853662	262494660	5365015381	10374.383331298828	1.098406606393929	1.0964517322790164	1.1003649658723036	103.27541286058522	0.0
min	144260	4947283	262494660	5365015381	44378.68878173828	0.5959772368234546	0.5928645236845648	0.5991062926219201	-193.71564816398822	0.0
low	272278	5703855	262494660	5365015381	158.9241943359375	0.9756511791798436	0.9719052412181163	0.9794115548157576	-12.559566769400186	1.761281125237741e-36
p	486367	13550080	262494660	5365015381	49567.35806274414	0.7336226639348817	0.7315252223132627	0.7357261193769706	-212.05247546894844	0.0
size	284190	4123433	262494660	5365015381	28270.514007568363	1.408641075974909	1.403293835151172	1.4140086924204234	176.57154146237627	0.0
3	532015	12166464	262494660	5365015381	6644.669219970703	0.8937375404839563	0.8912848483110876	0.8961969821251978	-80.12590139101488	0.0
similar	299821	5221324	262494660	5365015381	6925.652008056641	1.17363189478845	1.1693174233041146	1.1779622855294545	85.20413722292176	0.0
”	330005	5488552	262494660	5365015381	12436.143585205078	1.228890637197455	1.2245784792289545	1.2332179797430658	114.92499812435219	0.0
genes	702833	7335919	262494660	5365015381	241224.1462402344	1.9581597337166203	1.9533671579540364	1.9629640680379303	537.496665250816	0.0
based	490625	8697542	262494660	5365015381	9002.424133300781	1.1529318531069588	1.149617653155384	1.1562556074710715	96.89152122678401	0.0
increased	243041	6530384	262494660	5365015381	19089.36700439453	0.7606613021371751	0.7575861521406144	0.7637489346051677	-132.36269142433798	0.0
information	250332	4721439	262494660	5365015381	1496.7985534667969	1.0836586066094755	1.0793090810517791	1.08802566039232	39.154458202145946	0.0
significantly	239002	6466592	262494660	5365015381	19786.821044921875	0.7553992913478694	0.7523201753759504	0.7584910096073235	-134.60663528845103	0.0
t	315987	6047561	262494660	5365015381	1270.081512451172	1.0679218110839073	1.0641067282822745	1.0717505718901954	35.989519287908784	6.101168161082507e-284
level	293259	6607095	262494660	5365015381	2742.4306640625	0.9071754660157256	0.9038243286392791	0.9105390285077173	-51.59375717272659	0.0
type	319156	5671708	262494660	5365015381	5664.369415283203	1.1501107114221254	1.1460146211159687	1.1542214419915797	76.83155856596737	0.0
system	229194	5116317	262494660	5365015381	1751.5014038085938	0.9155800009046235	0.911754854040064	0.9194211956667848	-41.29066775592312	0.0
total	261994	6188243	262494660	5365015381	5494.169677734375	0.8653155034051532	0.8619375165117691	0.8687067288398854	-72.48952764641562	0.0
neurons	245673	1628424	262494660	5365015381	205552.05819702148	3.083475011491277	3.070416490812531	3.0965890702257974	520.0459685074982	0.0
cell	966589	14466512	262494660	5365015381	80188.83978271483	1.3656157449701898	1.3628016078069858	1.3684356932271935	296.0714081771624	0.0
response	307239	4997898	262494660	5365015381	14097.20733642578	1.2564333423372993	1.251861706124919	1.2610216735708277	122.74244159021532	0.0
years	82305	4895243	262494660	5365015381	133627.16311645508	0.34363901278376324	0.34127939905100263	0.34601494094096114	-303.85055860180665	0.0
mice	305116	6537299	262494660	5365015381	657.02294921875	0.953931372194564	0.9504726909458903	0.9574026392608987	-25.449579902775916	3.5677454154519955e-143
±	146922	11016756	262494660	5365015381	388224.95809936523	0.2725734802902856	0.27117363119354926	0.2739805556703631	-494.803895610869	0.0
data	1054601	17896614	262494660	5365015381	32498.45196533203	1.2043918447717772	1.2020240280552892	1.2067643257511018	185.2262404722675	0.0
al	1754312	17451861	262494660	5365015381	678998.7943115234	2.054544666148136	2.0513475495130873	2.057746765632035	906.2338291875835	0.0
identified	269261	4174454	262494660	5365015381	17819.10577392578	1.3183304192844398	1.313200153657547	1.3234807272676552	138.9245078260253	0.0
control	386236	9070633	262494660	5365015381	7450.953277587891	0.8702933270901169	0.8674932378853178	0.8731024544052001	-84.49491412611398	0.0
function	318367	4462302	262494660	5365015381	37943.124053955085	1.4582083622836952	1.4529717162793825	1.463463881650144	205.5052730130804	0.0
specific	382935	5745436	262494660	5365015381	31348.381408691406	1.3622366786605165	1.357784651663221	1.3667033033661895	185.0881028887602	0.0
population	315986	4412016	262494660	5365015381	38378.702117919915	1.4637983763410636	1.4585212754213221	1.4690945704304328	206.78661928506867	0.0
associated	333073	6955965	262494660	5365015381	148.65634155273438	0.9786615798295109	0.9752630133628927	0.9820719895157219	-12.152769006710614	2.7727520026000945e-34
20	223432	5200279	262494660	5365015381	3761.128326416016	0.8781510540853922	0.8744386626972998	0.8818792062699891	-60.11510597903864	0.0
time	615363	11258014	262494660	5365015381	6916.010681152344	1.1171721328209214	1.1143058786844495	1.120045759630312	84.53682046050012	0.0
test	360585	6824993	262494660	5365015381	1971.93994140625	1.0798313819932701	1.0762184701035027	1.0834564225843057	44.91754710074067	0.0
conditions	238256	4106826	262494660	5365015381	6211.114593505859	1.1857360991933394	1.1808465776051902	1.1906458667828022	80.80867650352015	0.0
analysis	680637	12546247	262494660	5365015381	6661.527038574219	1.1087974519005297	1.106092549558426	1.1115089689664042	82.87548011983078	0.0
fig	1031812	13310282	262494660	5365015381	177724.23956298828	1.5843962876035902	1.5812199556216533	1.5875790001556835	449.47772321500474	0.0
performed	313769	7242675	262494660	5365015381	4615.485137939453	0.8854448871946594	0.8822840196551108	0.8886170788468293	-66.68080974070459	0.0
mm	238592	5761790	262494660	5365015381	6707.305725097656	0.8463479579601436	0.8428877895441544	0.8498223308356297	-79.81396063229028	0.0
observed	424926	7528396	262494660	5365015381	7862.279052734375	1.153616205981186	1.1500536548257099	1.1571897929441501	90.55694366695947	0.0
species	423665	4632521	262494660	5365015381	127972.859375	1.8691996419150847	1.863323985810899	1.8750938258410113	389.40937853541294	0.0
effect	341735	6962991	262494660	5365015381	3.11334228515625	1.0030997578643597	0.9996586680561013	1.006552692814812	1.7652805776743103	0.03875831103599761
disease	156577	5089904	262494660	5365015381	37956.25268554688	0.6287367922903498	0.6255819321714986	0.6319075626231277	-180.80514101695871	0.0
"				"	4	18199325	262494660	5365015381	1735705.2803955078	4.4921599259934665e-06	1.6859572832647952e-06	1.1969164937337393e-05	-24.626350935531885	3.298357125481001e-134
“	327057	5546813	262494660	5365015381	10167.0390625	1.2051203567449102	1.2008749734145965	1.209380748531575	103.62565463660802	0.0
sample	253603	4790248	262494660	5365015381	1461.4944763183594	1.0820488979130394	1.077734010968275	1.08638106022367	38.68146970145292	0.0
rate	303540	5195818	262494660	5365015381	8550.950592041016	1.1940224657231582	1.1896578764722925	1.198403067677933	94.90894084574177	0.0
 	1	5160158	262494660	5365015381	492721.0123901367	3.960841821371121e-06	5.579178163336278e-07	2.8119316993707748e-05	-12.43905274398494	8.019737259352056e-36
expression	709810	12371288	262494660	5365015381	16211.160888671875	1.172675076013477	1.1698693903657285	1.1754874905080683	130.3336252589688	0.0
found	405324	8047532	262494660	5365015381	321.0002746582031	1.029414084855279	1.0261687127922634	1.0326697207664282	17.994561847779057	1.0745755277338009e-72
d	314117	5238951	262494660	5365015381	11529.627838134766	1.2254556628965048	1.2210488234859835	1.2298784068582744	110.61372067845076	0.0
clinical	92762	5187380	262494660	5365015381	130440.58605957033	0.3654875089701952	0.3631217960413245	0.3678686343521956	-303.7952635990074	0.0
results	564580	13192663	262494660	5365015381	10093.89093017578	0.8746685662430717	0.8723392595287328	0.8770040926359475	-98.4255380273913	0.0
individual	238484	2936322	262494660	5365015381	49174.88021850586	1.659992274408991	1.6530759673286164	1.666937518637189	237.91907395100003	0.0
table	376993	9609913	262494660	5365015381	18933.12872314453	0.8017968189167083	0.7991899625940637	0.8044121784741343	-132.95116559533025	0.0
respectively	225542	5408486	262494660	5365015381	5803.085906982422	0.8523190902718314	0.8487349148441021	0.8559184015367602	-74.3216887048329	0.0
cancer	157764	5656957	262494660	5365015381	58210.641693115234	0.570000884955359	0.5671554573901468	0.5728605880739903	-220.15310498475617	0.0
single	356832	3817816	262494660	5365015381	114623.29473876953	1.9102899855658968	1.9037426654913696	1.9168598230746001	369.5063740191315	0.0
binding	274774	3705457	262494660	5365015381	39292.54956054688	1.515599162632466	1.5097341891568825	1.521486920194226	210.1979757783041	0.0
mean	296002	6178812	262494660	5365015381	126.31655883789062	0.9791295611646574	0.9755233261169645	0.9827491274478739	-11.203266020634592	1.9648669855351753e-29
proteins	317669	4602840	262494660	5365015381	31837.981201171875	1.4105856318808785	1.405519961826972	1.415669559244387	187.4141371156965	0.0
figure	938512	14247402	262494660	5365015381	71261.07922363281	1.346339693582325	1.3435255137690931	1.349159768042097	278.56742339674753	0.0
value	247373	4556063	262494660	5365015381	2463.2940673828125	1.1097191326045863	1.1052358214886953	1.114220629955642	50.404722151740984	0.0
related	205383	5091279	262494660	5365015381	7799.966400146484	0.8244951302951747	0.8208646597116377	0.8281416575044929	-85.71261191119723	0.0
regions	276621	2613208	262494660	5365015381	121417.50772094727	2.163523747226645	2.1550575170867603	2.172023237292176	385.7860997838287	0.0
non	362862	6145600	262494660	5365015381	11440.261810302734	1.2067788737127838	1.2027420501061978	1.2108292463133783	109.94357122077142	0.0
changes	253264	4224365	262494660	5365015381	9290.785034179688	1.2253566853318585	1.2204508653007549	1.2302822251819747	99.29518665526453	0.0
shown	393296	8110411	262494660	5365015381	29.864898681640625	0.9911221113010258	0.9879530096144825	0.9943013786588124	-5.457534423353271	2.413957870947719e-08
2	665186	15802098	262494660	5365015381	15084.819885253906	0.8603572997364485	0.8582465493682513	0.862473241231974	-120.01465714983932	0.0
