lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
man	2585	548191	420924101	1218668568	299375.38705444336	0.013652445865773471
music	4584	499143	420924101	1218668568	256386.03352355957	0.026588965525714766
average	229249	190277	420924101	1218668568	158340.88305664062	3.488212799396057
large	224375	347075	420924101	1218668568	50469.53190612793	1.8716858216071817
left	168604	530001	420924101	1218668568	877.4974517822266	0.9210283569022855
studies	324372	100884	420924101	1218668568	475876.6449584961	9.308996821512782
activity	381562	58614	420924101	1218668568	726801.4926452637	18.847145071196287
previously	214313	63574	420924101	1218668568	321590.79359436035	9.76002196409111
know	12610	520446	420924101	1218668568	223718.26821899414	0.07014895866225114
levels	328338	78525	420924101	1218668568	540180.8467102051	12.105842526385986
expression	709810	28343	420924101	1218668568	1705915.6646575928	72.50669567934001
test	360585	138836	420924101	1218668568	472456.79766845703	7.519472591847815
experiments	212116	17019	420924101	1218668568	465633.7624053955	36.08454282811421
p.m.	273	631032	420924101	1218668568	370323.9329986572	0.0012525442592592445
observed	424926	26516	420924101	1218668568	969242.7836914062	46.39670208948514
department	4567	492990	420924101	1218668568	252962.61108398438	0.02682098470849629
function	318367	26153	420924101	1218668568	696025.9582519531	35.24425608400355
work	120894	842468	420924101	1218668568	100848.40983581543	0.4154637630354164
data	1054601	130324	420924101	1218668568	2122407.0317230225	23.428559910258976
genome	310549	6157	420924101	1218668568	787308.4629821777	146.030239815903
significantly	239002	32542	420924101	1218668568	470084.3095703125	21.26371346357474
house	11025	802719	420924101	1218668568	389425.4539489746	0.039764623277947705
says	331	478865	420924101	1218668568	279520.2856140137	0.002001228664451792
time	615363	1578029	420924101	1218668568	6392.579345703125	1.1290111125717928
type	319156	72645	420924101	1218668568	535158.9021606445	12.719765424222311
way	93514	862610	420924101	1218668568	153724.87420654297	0.3138657758250606
children	29066	633876	420924101	1218668568	216485.11004638672	0.1327586346942707
days	131077	482656	420924101	1218668568	6230.5762939453125	0.7862679994139031
rate	303540	239785	420924101	1218668568	221964.53401184082	3.6650148176018686
